,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,ref,date
165,Angola,14,+4,2.0,,2.0,10,,0.4,0.06,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
166,Dominica,14,,,,,14,,194.0,,255.0,3542.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
167,Mongolia,14,,,,2.0,12,,4.0,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
168,Saint Lucia,14,,,,1.0,13,,76.0,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
169,Liberia,13,+3,3.0,+2,3.0,7,,3.0,0.6,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
170,Sudan,12,+2,2.0,,2.0,8,,0.3,0.05,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
171,Fiji,12,,,,,12,,13.0,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
172,Grenada,12,,,,,12,2.0,107.0,,45.0,400.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
173,Curaçao,11,,1.0,,5.0,5,,67.0,6.0,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
174,Greenland,11,,,,3.0,8,,194.0,,542.0,9547.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
175,Laos,11,+1,,,,11,,2.0,,604.0,83.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
176,Suriname,10,,1.0,,,9,,17.0,2.0,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
177,Mozambique,10,,,,1.0,9,,0.3,,338.0,11.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
178,Saint Kitts and Nevis,10,+1,,,,10,,188.0,,149.0,2801.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
179,Seychelles,10,,,,,10,,102.0,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
180,MS Zaandam,9,,2.0,,,7,,,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
181,Zimbabwe,9,,1.0,,,8,,0.6,0.07,316.0,21.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
182,Nepal,9,,,,1.0,8,,0.3,,1521.0,52.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
183,Chad,9,,,,,9,,0.5,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
184,Eswatini,9,,,,,9,,8.0,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
185,CAR,8,,,,,8,,2.0,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
186,Cabo Verde,7,,1.0,,,6,,13.0,2.0,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
187,Vatican City,7,,,,,7,,8739.0,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
188,St. Vincent Grenadines,7,,,,1.0,6,,63.0,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
189,Somalia,7,,,,1.0,6,,0.4,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
190,Botswana,6,+2,1.0,,,5,,3.0,0.4,966.0,411.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
191,Mauritania,6,,1.0,,2.0,3,,1.0,0.2,67.0,14.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
192,Nicaragua,6,+1,1.0,,,5,,0.9,0.2,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
193,Montserrat,6,,,,,6,,1202.0,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
194,St. Barth,6,,,,1.0,5,,607.0,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
195,Sierra Leone,6,+2,,,,6,,0.8,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
196,Turks and Caicos,5,,1.0,+1,,4,,129.0,26.0,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
197,Belize,5,+1,,,,5,1.0,13.0,,102.0,257.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
198,Bhutan,5,,,,2.0,3,,6.0,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
199,Gambia,4,,1.0,,2.0,1,,2.0,0.4,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
200,Malawi,4,,,,,4,,0.2,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
201,Western Sahara,4,,,,,4,,7.0,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
202,Anguilla,3,,,,,3,,200.0,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
203,British Virgin Islands,3,,,,,3,,99.0,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
204,Burundi,3,,,,,3,,0.3,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
205,Caribbean Netherlands,2,,,,,2,,76.0,,10.0,381.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
206,Falkland Islands,2,+1,,,,2,,575.0,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
207,Papua New Guinea,1,,,,,1,,0.1,,72.0,8.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
208,Saint Pierre Miquelon,1,+1,,,,1,,173.0,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
209,South Sudan,1,+1,,,,1,,0.09,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
210,Timor-Leste,1,,,,,1,,0.8,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
211,Total:,1272901,"+71,418",69427.0,"+4,737",264604.0,938870,45589.0,163.3,8.9,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
