,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,ref,date
123,Rwanda,102,+13,,,,102,,8.0,,,,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
124,Gibraltar,98,+3,,,52.0,46,,2909.0,,1269.0,37666.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
125,Paraguay,96,+4,3.0,,12.0,81,2.0,13.0,0.4,1289.0,181.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
126,Liechtenstein,77,+2,1.0,+1,,76,,2020.0,26.0,900.0,23605.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
127,Bangladesh,70,+9,8.0,+2,30.0,32,1.0,0.4,0.05,2086.0,13.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
128,Madagascar,70,,,,,70,6.0,3.0,,,,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
129,Monaco,66,+2,1.0,,3.0,62,2.0,1682.0,25.0,,,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
130,Aruba,64,+2,,,1.0,63,,599.0,,863.0,8083.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
131,Guatemala,61,+11,2.0,+1,15.0,44,1.0,3.0,0.1,1134.0,63.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
132,French Guiana,61,+4,,,22.0,39,1.0,204.0,,,,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
133,El Salvador,56,+10,3.0,,2.0,51,4.0,9.0,0.5,,,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
134,Jamaica,53,,3.0,,7.0,43,,18.0,1.0,540.0,182.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
135,Barbados,52,+1,,,,52,,181.0,,382.0,1329.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
136,Djibouti,50,+1,,,8.0,42,,51.0,,,,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
137,Uganda,48,,,,,48,,1.0,,2629.0,57.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
138,Macao,44,+2,,,10.0,34,,68.0,,,,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
139,Mali,41,+2,3.0,,1.0,37,,2.0,0.1,,,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
140,Togo,41,+1,3.0,,17.0,21,,5.0,0.4,,,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
141,French Polynesia,40,+1,,,,40,1.0,142.0,,583.0,2075.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
142,Zambia,39,,1.0,,2.0,36,,2.0,0.05,619.0,34.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
143,Ethiopia,38,+3,,,4.0,34,1.0,0.3,,1222.0,11.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
144,Bermuda,37,+2,,,14.0,23,,594.0,,291.0,4673.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
145,Cayman Islands,35,+6,1.0,,1.0,33,,533.0,15.0,319.0,4854.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
146,Eritrea,29,+7,,,,29,,8.0,,,,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
147,Bahamas,28,+4,4.0,+1,,24,1.0,71.0,10.0,,,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
148,Saint Martin,24,+2,2.0,+1,5.0,17,6.0,621.0,52.0,18.0,466.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
149,Guyana,23,,4.0,,,19,,29.0,5.0,83.0,106.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
150,Sint Maarten,23,,4.0,,6.0,13,,536.0,93.0,82.0,1912.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
151,Congo,22,,2.0,,2.0,18,,4.0,0.4,,,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
152,Gabon,21,,1.0,,1.0,19,,9.0,0.4,,,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
153,Myanmar,21,+1,1.0,,,20,,0.4,0.02,,,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
154,Tanzania,20,,1.0,,3.0,16,,0.3,0.02,,,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
155,Haiti,20,+2,,,1.0,19,,2.0,,200.0,18.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
156,Maldives,19,,,,13.0,6,,35.0,,,,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
157,Libya,18,+1,1.0,,,17,,3.0,0.1,131.0,19.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
158,Guinea-Bissau,18,+3,,,,18,,9.0,,,,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
159,New Caledonia,17,,,,1.0,16,,60.0,,1390.0,4869.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
160,Syria,16,,2.0,,2.0,12,,0.9,0.1,,,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
161,Benin,16,,,,2.0,14,,1.0,,,,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
162,Equatorial Guinea,16,,,,1.0,15,,11.0,,,,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
