,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop,ref,date
121,Ivory Coast,25,+11,,,2.0,23,,0.9,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
122,Mayotte,24,+13,,,,24,,88.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
123,Monaco,23,,,,1.0,22,,586.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
124,Paraguay,22,,1.0,,,21,1.0,3.0,0.1,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
125,Guatemala,20,+1,1.0,,,19,,1.0,0.06,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
126,Guyana,20,+1,1.0,,,19,,25.0,1.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
127,French Guiana,20,+2,,,6.0,14,,67.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
128,Jamaica,19,,1.0,,2.0,16,,6.0,0.3,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
129,French Polynesia,18,,,,,18,,64.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
130,Togo,18,+2,,,,18,,2.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
131,Barbados,17,+3,,,,17,,59.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
132,U.S. Virgin Islands,17,+11,,,,17,,163.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
133,Kenya,16,+1,,,,16,,0.3,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
134,Kyrgyzstan,16,+2,,,,16,,2.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
135,Gibraltar,15,,,,5.0,10,,445.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
136,Isle of Man,13,+8,,,,13,,153.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
137,Maldives,13,,,,5.0,8,,24.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
138,Madagascar,12,+9,,,,12,,0.4,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
139,Tanzania,12,,,,,12,,0.2,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
140,Ethiopia,11,,,,,11,,0.1,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
141,Mongolia,10,,,,,10,,3.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
142,Aruba,9,,,,1.0,8,,84.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
143,Equatorial Guinea,9,+3,,,,9,,6.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
144,Uganda,9,+8,,,,9,,0.2,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
145,New Caledonia,8,+4,,,,8,,28.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
146,Saint Martin,8,+3,,,,8,,207.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
147,Seychelles,7,,,,,7,,71.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
148,Gabon,6,+1,1.0,,,5,,3.0,0.4,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
149,Benin,6,+4,,,,6,,0.5,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
150,Bermuda,6,,,,,6,,96.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
151,Haiti,6,+4,,,,6,,0.5,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
152,Cayman Islands,5,+2,1.0,,,4,,76.0,15.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
153,Suriname,5,,,,,5,,9.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
154,Curaçao,4,+1,1.0,,,3,,24.0,6.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
155,Bahamas,4,,,,,4,,10.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
156,Congo,4,+1,,,,4,,0.7,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
157,Greenland,4,,,,,4,,70.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
158,Guinea,4,+2,,,,4,,0.3,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
159,Namibia,4,+1,,,,4,,2.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
160,Eswatini,4,,,,,4,,3.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
161,Zimbabwe,3,,1.0,1.0,,2,,0.2,0.07,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
162,Angola,3,+1,,,,3,,0.09,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
163,Antigua and Barbuda,3,+2,,,,3,,31.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
164,Cabo Verde,3,,,,,3,,5.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
165,CAR,3,,,,,3,,0.6,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
166,Djibouti,3,+2,,,,3,,3.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
167,El Salvador,3,,,,,3,,0.5,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
168,Fiji,3,+1,,,,3,,3.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
169,Liberia,3,,,,,3,,0.6,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
170,Niger,3,+1,,,,3,,0.1,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
