יישוב,pop2018,סוג מידע,value,date,StringencyIndex
אילת,56568,מספר חולים מאומתים,23.0,2020-04-26,1.0
יקנעם עילית,22711,מספר חולים מאומתים,16.0,2020-04-26,1.0
נס ציונה,45714,מספר חולים מאומתים,19.0,2020-04-26,1.0
ג'ולס,6147,מספר חולים מאומתים,2.0,2020-04-26,1.0
חורפיש,6288,מספר חולים מאומתים,2.0,2020-04-26,1.0
קרית אתא,57108,מספר חולים מאומתים,25.0,2020-04-26,1.0
עראבה,25876,מספר חולים מאומתים,7.0,2020-04-26,1.0
יאנוח-ג'ת,6514,מספר חולים מאומתים,1.0,2020-04-26,1.0
נצרת,78252,מספר חולים מאומתים,19.0,2020-04-26,1.0
בית דגן,6533,מספר חולים מאומתים,5.0,2020-04-26,1.0
טירה,26184,מספר חולים מאומתים,7.0,2020-04-26,1.0
טובא-זנגריה,6648,מספר חולים מאומתים,1.0,2020-04-26,1.0
קרית מוצקין,42870,מספר חולים מאומתים,12.0,2020-04-26,1.0
רמת ישי,7236,מספר חולים מאומתים,3.0,2020-04-26,1.0
נשר,22032,מספר חולים מאומתים,5.0,2020-04-26,1.0
לקיה,14695,מספר חולים מאומתים,2.0,2020-04-26,1.0
מעלות-תרשיחא,22261,מספר חולים מאומתים,13.0,2020-04-26,1.0
מבשרת ציון,23093,מספר חולים מאומתים,15.0,2020-04-26,1.0
אבו גוש,7792,מספר חולים מאומתים,2.0,2020-04-26,1.0
קרית טבעון,15831,מספר חולים מאומתים,5.0,2020-04-26,1.0
עילוט,8241,מספר חולים מאומתים,2.0,2020-04-26,1.0
אבו רובייעה (שבט),8446,מספר חולים מאומתים,1.0,2020-04-26,1.0
חצור הגלילית,9722,מספר חולים מאומתים,3.0,2020-04-26,1.0
בועיינה-נוג'ידאת,9974,מספר חולים מאומתים,2.0,2020-04-26,1.0
שפרעם,40666,מספר חולים מאומתים,7.0,2020-04-26,1.0
ג'דיידה-מכר,20524,מספר חולים מאומתים,2.0,2020-04-26,1.0
מגאר,22364,מספר חולים מאומתים,9.0,2020-04-26,1.0
עספיא,12141,מספר חולים מאומתים,4.0,2020-04-26,1.0
ירכא,15418,מספר חולים מאומתים,1.0,2020-04-26,1.0
מסעודין אל-עזאזמה,16644,מספר חולים מאומתים,1.0,2020-04-26,1.0
כפר קרע,18820,מספר חולים מאומתים,6.0,2020-04-26,1.0
אור עקיבא,18893,מספר חולים מאומתים,3.0,2020-04-26,1.0
יפיע,19056,מספר חולים מאומתים,5.0,2020-04-26,1.0
בית שאן,19058,מספר חולים מאומתים,2.0,2020-04-26,1.0
כפר מנדא,20003,מספר חולים מאומתים,0.0,2020-04-26,1.0
תל שבע,19850,מספר חולים מאומתים,1.0,2020-04-26,1.0
ערערה,19667,מספר חולים מאומתים,2.0,2020-04-26,1.0
ערערה-בנגב,17465,מספר חולים מאומתים,12.0,2020-04-26,1.0
דאלית אל-כרמל,16993,מספר חולים מאומתים,0.0,2020-04-26,1.0
כסיפה,16957,מספר חולים מאומתים,7.0,2020-04-26,1.0
ריינה,16614,מספר חולים מאומתים,0.0,2020-04-26,1.0
טורעאן,14398,מספר חולים מאומתים,0.0,2020-04-26,1.0
בנימינה-גבעת עדה,14383,מספר חולים מאומתים,2.0,2020-04-26,1.0
אעבלין,13062,מספר חולים מאומתים,0.0,2020-04-26,1.0
בית ג'ן,11757,מספר חולים מאומתים,0.0,2020-04-26,1.0
מג'דל שמס,11089,מספר חולים מאומתים,1.0,2020-04-26,1.0
כפר יאסיף,10577,מספר חולים מאומתים,3.0,2020-04-26,1.0
שגב-שלום,10310,מספר חולים מאומתים,0.0,2020-04-26,1.0
אעצם (שבט),10149,מספר חולים מאומתים,0.0,2020-04-26,1.0
אבו רוקייק (שבט),9696,מספר חולים מאומתים,0.0,2020-04-26,1.0
משהד,8649,מספר חולים מאומתים,0.0,2020-04-26,1.0
כסרא-סמיע,8550,מספר חולים מאומתים,0.0,2020-04-26,1.0
זרזיר,8385,מספר חולים מאומתים,0.0,2020-04-26,1.0
ראמה,8243,מספר חולים מאומתים,1.0,2020-04-26,1.0
בסמת טבעון,7833,מספר חולים מאומתים,2.0,2020-04-26,1.0
עתלית,7442,מספר חולים מאומתים,5.0,2020-04-26,1.0
זמר,6926,מספר חולים מאומתים,3.0,2020-04-26,1.0
"בני עי""ש",6837,מספר חולים מאומתים,5.0,2020-04-26,1.0
בוקעאתא,6586,מספר חולים מאומתים,2.0,2020-04-26,1.0
אבו קורינאת (שבט),6235,מספר חולים מאומתים,0.0,2020-04-26,1.0
פרדסיה,6027,מספר חולים מאומתים,1.0,2020-04-26,1.0
כעביה-טבאש-חג'אג'רה,5780,מספר חולים מאומתים,0.0,2020-04-26,1.0
בת חפר,5124,מספר חולים מאומתים,1.0,2020-04-26,1.0
דייר אל-אסד,12435,מספר מחלימים,9.0,2020-04-26,1.0
בני ברק,195298,מספר מחלימים,1065.0,2020-04-26,1.0
אלעד,46760,מספר מחלימים,145.0,2020-04-26,1.0
ביתר עילית,59240,מספר מחלימים,69.0,2020-04-26,1.0
מודיעין עילית,73808,מספר מחלימים,126.0,2020-04-26,1.0
כוכב יעקב,8602,מספר מחלימים,32.0,2020-04-26,1.0
בית שמש,120812,מספר מחלימים,99.0,2020-04-26,1.0
