יישוב,pop2018,סוג מידע,value,date,StringencyIndex,last_updated
מודיעין-מכבים-רעות,87108.0,מספר חולים מאומתים,124.0,2020-04-21,1.0,2020-05-31
שלומי,6478.0,מספר חולים מאומתים,9.0,2020-04-21,1.0,2020-05-31
עומר,8016.0,מספר חולים מאומתים,11.0,2020-04-21,1.0,2020-05-31
רעננה,73979.0,מספר חולים מאומתים,99.0,2020-04-21,1.0,2020-05-31
כוכב יאיר,9143.0,מספר חולים מאומתים,12.0,2020-04-21,1.0,2020-05-31
עפולה,50886.0,מספר חולים מאומתים,65.0,2020-04-21,1.0,2020-05-31
בת ים,130523.0,מספר חולים מאומתים,165.0,2020-04-21,1.0,2020-05-31
עיילבון,5677.0,מספר חולים מאומתים,7.0,2020-04-21,1.0,2020-05-31
גן יבנה,22410.0,מספר חולים מאומתים,27.0,2020-04-21,1.0,2020-05-31
שדרות,25891.0,מספר חולים מאומתים,31.0,2020-04-21,1.0,2020-05-31
להבים,6178.0,מספר חולים מאומתים,7.0,2020-04-21,1.0,2020-05-31
רמת גן,143370.0,מספר חולים מאומתים,162.0,2020-04-21,1.0,2020-05-31
אשדוד,225073.0,מספר חולים מאומתים,253.0,2020-04-21,1.0,2020-05-31
תל אביב - יפו,450192.0,מספר חולים מאומתים,504.0,2020-04-21,1.0,2020-05-31
תל מונד,12593.0,מספר חולים מאומתים,14.0,2020-04-21,1.0,2020-05-31
לוד,75038.0,מספר חולים מאומתים,83.0,2020-04-21,1.0,2020-05-31
מעלה אדומים,37469.0,מספר חולים מאומתים,41.0,2020-04-21,1.0,2020-05-31
הרצליה,90900.0,מספר חולים מאומתים,97.0,2020-04-21,1.0,2020-05-31
אום אל-פחם,55324.0,מספר חולים מאומתים,59.0,2020-04-21,1.0,2020-05-31
דייר חנא,10567.0,מספר חולים מאומתים,11.0,2020-04-21,1.0,2020-05-31
גדרה,24633.0,מספר חולים מאומתים,25.0,2020-04-21,1.0,2020-05-31
קרני שומרון,7906.0,מספר חולים מאומתים,8.0,2020-04-21,1.0,2020-05-31
פתח תקווה,242478.0,מספר חולים מאומתים,243.0,2020-04-21,1.0,2020-05-31
רמת השרון,44896.0,מספר חולים מאומתים,44.0,2020-04-21,1.0,2020-05-31
כרמיאל,46596.0,מספר חולים מאומתים,45.0,2020-04-21,1.0,2020-05-31
קרית עקרון,10600.0,מספר חולים מאומתים,10.0,2020-04-21,1.0,2020-05-31
