,Country,Total Cases,New Cases,Total Deaths,Region,ref,date,New Deaths,Total Recovered,Serious_Critical,ActiveCases,Tot Cases/1M pop,Tot Deaths/1M pop,Deaths/1M pop,Reported1st case
347,U.K.,9,,,Europe,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,14/02/2020,,1,,,,,,
346,Macao,10,,,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,14/02/2020,,3,,,,,,
340,Taiwan,18,,,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,14/02/2020,,1,,,,,,
344,Australia,15,,,Oceania,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,14/02/2020,,10,,,,,,
343,USA,15,,,N.America,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,14/02/2020,,3,,,,,,
342,Vietnam,16,,,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,14/02/2020,,7,,,,,,
341,Germany,16,,,Europe,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,14/02/2020,,1,,,,,,
349,U.A.E.,8,,,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,14/02/2020,,1,1,,,,,
339,Malaysia,19,,,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,14/02/2020,,7,,,,,,
338,S. Korea,28,,,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,14/02/2020,,7,,,,,,
337,Thailand,33,,,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,14/02/2020,,13,1,,,,,
336,Hong Kong,56,3,1,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,14/02/2020,,1,7,,,,,
335,Singapore,67,9,,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,14/02/2020,,17,8,,,,,
334,Japan,259,8,1,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,14/02/2020,,11,9,,,,,
333,China,66291,2,1520,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,14/02/2020,140,7977,10730,,,,,
345,France,11,,,Europe,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,14/02/2020,,3,1,,,,,
348,Canada,8,1,,N.America,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,14/02/2020,,1,,,,,,
388,Sri Lanka,1,,,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,15/02/2020,,1,,,,,,
362,China,68501,2,1665,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,15/02/2020,142,9452,11272,,,,,
387,Belgium,1,,,Europe,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,15/02/2020,,1,,,,,,
386,Nepal,1,,,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,15/02/2020,,1,,,,,,
385,Sweden,1,,,Europe,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,15/02/2020,,,,,,,,
384,Cambodia,1,,,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,15/02/2020,,1,,,,,,
383,Spain,2,,,Europe,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,15/02/2020,,2,,,,,,
